Name,Meaning in English,Source Name,Gender,Source
Tepi,tiny,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tepiton,little one,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tequitl,Work,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tetepon,short one,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tetlacatl,stone man',Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tetzauh,surprise,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Teuctlamacazqui,lord priest,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Teuhcatl,dust person,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Teyacapan,in front of someone,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Teyauh,,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tezcacoacatl,mirror snake person,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tezcatlan Miyahuatzin,,Wikipedia,female,https://en.wikipedia.org/wiki/Tezcatlan_Miyahuatzin
Ticocnahuacatl,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tizoc,"Son of Tezozomoc, a son of Itzcoatl.",Wikipedia,male,https://en.wikipedia.org/wiki/List_of_Tenochtitlan_rulers
Tlacatecpanecatl,Person from the palace,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlacateotl,man-god,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlachinolli,Fire,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Tlaco,middle,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlacoehua,sits up halfway,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlacoton,little half,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlacotzin,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Tlacuiton,little taken thing if from tlacuitl something taken,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlahtol,word,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlahuizcal,rosy light of dawn,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlailotlac,dirty one,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlanextic,Light of dawn,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Tlanextli,Radiance or splendor,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Tlaocoyoa,is sad,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlapayauh,it became dark,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlapoca,he smokes,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlatlazaloc,he has been thrown,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlatonal,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Tlazohtzin,Little necklace of flowers,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Tlazozomizqui,,Wikipedia,female,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Tlillanhuehue,old man from the ink place,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
