mythicalCreature,mythicalCreatureLabel,mythicalCreatureDescription
http://www.wikidata.org/entity/Q109407038,Bobo (demon),"demon słowiański, istota z polskiego folkloru"
http://www.wikidata.org/entity/Q10948069,Three Goddesses of Munakata,
http://www.wikidata.org/entity/Q10953669,Misshaku Kongō,deity
http://www.wikidata.org/entity/Q10955404,寝肥,
http://www.wikidata.org/entity/Q10957152,封豨,
http://www.wikidata.org/entity/Q10960193,Tomiyauhtecuhtli,
http://www.wikidata.org/entity/Q10975982,İmre,mitoloji
http://www.wikidata.org/entity/Q10995575,Arat,criatura legendaria
http://www.wikidata.org/entity/Q11003074,Değirmen İyesi,Türk ve Tatar mitolojisinde değirmenin koruyucu ruhu
http://www.wikidata.org/entity/Q11003525,Aya,mitología turca
http://www.wikidata.org/entity/Q11005717,Follet,"Petit dimoni o esperit casaner,"
http://www.wikidata.org/entity/Q1101627,Monaciello,fairy of the tradition of Naples
http://www.wikidata.org/entity/Q1101752,Clíodhna,queen of the banshees
http://www.wikidata.org/entity/Q1103448,Clurichaun,mischevious fairy from Irish folklore
http://www.wikidata.org/entity/Q11047879,山𤟤,
http://www.wikidata.org/entity/Q1105201,Cocidius,Romano-British deity
http://www.wikidata.org/entity/Q11060107,Dijiang,chinesische Gottheit
http://www.wikidata.org/entity/Q11065398,Jianmu,
http://www.wikidata.org/entity/Q11069488,當康,
http://www.wikidata.org/entity/Q11070120,影木,
http://www.wikidata.org/entity/Q11092818,Oboroguruma,
http://www.wikidata.org/entity/Q11093248,木魚達磨,
http://www.wikidata.org/entity/Q11107272,林默娘公園,
http://www.wikidata.org/entity/Q11107876,枳首蛇,
http://www.wikidata.org/entity/Q111135,Goofy,Disney cartoon character
http://www.wikidata.org/entity/Q11129547,Mikumari,divinity (kami) in Japanese Shinto
http://www.wikidata.org/entity/Q11130312,Water monkey,
http://www.wikidata.org/entity/Q11139313,沓頬,
http://www.wikidata.org/entity/Q1114013,Sumiyoshi sanjin,Shinto gods of the sea and sailing
http://www.wikidata.org/entity/Q11144612,Nakisawame,japonská bohyně
http://www.wikidata.org/entity/Q11146139,Luo Shen,Goddess of the River Luo
http://www.wikidata.org/entity/Q11153606,Demon King of Confusion,Journey to the West character
http://www.wikidata.org/entity/Q11173930,鴸鸟,
http://www.wikidata.org/entity/Q11174091,鸑鷟,
http://www.wikidata.org/entity/Q11174183,鸡冠蛇,中国古代传说中的生物
http://www.wikidata.org/entity/Q11174872,シオツチノオジ,
http://www.wikidata.org/entity/Q11178694,"Li, Shixu, 1773-1824",Qing dynasty politician
http://www.wikidata.org/entity/Q1117913,Donn Cúailnge,taureau fabuleux de la mythologie irlandaise
http://www.wikidata.org/entity/Q11179559,黑蜧,
http://www.wikidata.org/entity/Q11180093,鼷鼠,
http://www.wikidata.org/entity/Q11182043,𧈢𧏡,
http://www.wikidata.org/entity/Q11191988,baby☆B,
http://www.wikidata.org/entity/Q1119537,Phaethusa,"daughter of Helios and Neaera, in Greek mythology"
http://www.wikidata.org/entity/Q112001,Taygete,mythical character
http://www.wikidata.org/entity/Q11244093,白龍,
http://www.wikidata.org/entity/Q1125073,Svaðilfari,Horse in Norse mythology
http://www.wikidata.org/entity/Q11252512,Shōkera,Japanese yōkai
http://www.wikidata.org/entity/Q11257709,あっぽっしゃ,
http://www.wikidata.org/entity/Q11259418,いそがし,
http://www.wikidata.org/entity/Q11260746,Umimaru,海上保安庁のマスコットキャラクター
http://www.wikidata.org/entity/Q11261978,Otoroshi,Japanese yōkai
http://www.wikidata.org/entity/Q11267633,さがり (妖怪),
http://www.wikidata.org/entity/Q11271787,Chihana-chan,千葉県千葉市が推進する「花のあふれるまちづくり」のシンボルキャラクター
http://www.wikidata.org/entity/Q1127246,changeling,creature in folklore
http://www.wikidata.org/entity/Q11273711,どうもこうも,
http://www.wikidata.org/entity/Q11277241,Furaribi,ёкай
http://www.wikidata.org/entity/Q11278802,Mican,愛媛県のゆるキャラ。マスコットキャラクター。
http://www.wikidata.org/entity/Q11281633,Waira,Japanese yōkai
http://www.wikidata.org/entity/Q11288580,black dragon,
http://www.wikidata.org/entity/Q1129330,Ebisu,water deity
http://www.wikidata.org/entity/Q11294574,Cubby the bear,
http://www.wikidata.org/entity/Q1129489,Orithyia,legendary princess of Athens
http://www.wikidata.org/entity/Q11299063,クラミツハ,
http://www.wikidata.org/entity/Q1130107,Lilin,
http://www.wikidata.org/entity/Q11308873,Seapara Seata,横浜・八景島シーパラダイスのマスコット
http://www.wikidata.org/entity/Q1131235,Karkinos,cranc gegant de la mitologia grega que habitava a la llacuna de Lerna
http://www.wikidata.org/entity/Q11317124,Dagahra,架空の怪獣
http://www.wikidata.org/entity/Q11325537,Nebiros,
http://www.wikidata.org/entity/Q11326733,Hayaakishihiko,Ιαπωνική θεότης
http://www.wikidata.org/entity/Q1133300,Haizum,"in Islamic mythology, a white flaming winged horse belonging to Jibreel, given by Allah for pleasing Him"
http://www.wikidata.org/entity/Q11334720,Brisky the Bear,
http://www.wikidata.org/entity/Q1133514,Venilia,Roman goddess of sea winds
http://www.wikidata.org/entity/Q11337525,ペロリ太郎,
http://www.wikidata.org/entity/Q11344301,Moja-kun,JR北海道のマスコット
http://www.wikidata.org/entity/Q1134694,Scamander,water deity
http://www.wikidata.org/entity/Q1135146,Eridanos,river mentioned in Greek mythology
http://www.wikidata.org/entity/Q1135152,Pholus,centaur in Greek mythology
http://www.wikidata.org/entity/Q11354620,三味長老,
http://www.wikidata.org/entity/Q11361860,不落不落,
http://www.wikidata.org/entity/Q11370593,乳鉢坊,
http://www.wikidata.org/entity/Q11372024,五体面,
http://www.wikidata.org/entity/Q11372369,Gotokoneko,ёкай
http://www.wikidata.org/entity/Q11372731,Gozuryū,
http://www.wikidata.org/entity/Q1138061,Coventina,Celtic water deity
http://www.wikidata.org/entity/Q1138769,Kanthaka,cheval légendaire de Siddharta
http://www.wikidata.org/entity/Q11388043,Gagoze,Japanese folkloric creature
http://www.wikidata.org/entity/Q11395510,出世螺,
http://www.wikidata.org/entity/Q11400677,Bakebi,近江国堅田村に伝わる火の妖怪
http://www.wikidata.org/entity/Q11400681,Bakeichōnosei,
http://www.wikidata.org/entity/Q1140415,Sirin,fictional bird
http://www.wikidata.org/entity/Q11410474,双睛,
http://www.wikidata.org/entity/Q11411254,古庫裏婆,
http://www.wikidata.org/entity/Q11411563,古空穂,
http://www.wikidata.org/entity/Q1141437,Max Goof,Disney character and son of Goofy
http://www.wikidata.org/entity/Q1141525,Heiðrún,goat in Norse mythology
http://www.wikidata.org/entity/Q1141550,Werejaguar,Olmec concept of a man able to shapeshift into a Jaguar
http://www.wikidata.org/entity/Q11416418,否哉,
http://www.wikidata.org/entity/Q1141756,Souconna,water deity
http://www.wikidata.org/entity/Q1141921,Oshunmare,mythological serpent
http://www.wikidata.org/entity/Q11435362,大座頭,
http://www.wikidata.org/entity/Q11437796,大猫,日本各地の何箇所かに伝わる巨大な猫の怪異
http://www.wikidata.org/entity/Q11438352,大禿,
http://www.wikidata.org/entity/Q11442216,天井下り,
